netflix_original_title,netflix_title,season_name,netflix_episode_title,expected_type,title,year,source_id,episode_title,found_source,had_override
Delicious in Dungeon: Episode 8: Raspberries/Grilled Meat,Delicious in Dungeon,,Raspberries/Grilled Meat,series,,,,,imdb,
Delicious in Dungeon: Episode 11: Red Dragon I,Delicious in Dungeon,,Red Dragon I,series,,,,,imdb,
Delicious in Dungeon: Episode 12: Red Dragon II,Delicious in Dungeon,,Red Dragon II,series,,,,,imdb,
Delicious in Dungeon: Episode 13: Red Dragon III/Good Medicine,Delicious in Dungeon,,Red Dragon III/Good Medicine,series,,,,,imdb,
Delicious in Dungeon: Episode 2: Roast Basilisk/Omelet/Kakiage,Delicious in Dungeon,,Roast Basilisk/Omelet/Kakiage,series,,,,,imdb,
Delicious in Dungeon: Episode 14: Sea Serpent,Delicious in Dungeon,,Sea Serpent,series,,,,,imdb,
Delicious in Dungeon: Episode 18: Shapeshifter,Delicious in Dungeon,,Shapeshifter,series,,,,,imdb,
Delicious in Dungeon: Episode 5: Snacks/Sorbet,Delicious in Dungeon,,Snacks/Sorbet,series,,,,,imdb,
Delicious in Dungeon: Episode 4: Stewed Cabbage/Orcs,Delicious in Dungeon,,Stewed Cabbage/Orcs,series,,,,,imdb,
Delicious in Dungeon: Episode 9: Tentacles/Stew,Delicious in Dungeon,,Tentacles/Stew,series,,,,,imdb,
Diablero: Season 1: An Arcane Incantation,Diablero,Season 1,An Arcane Incantation,series,,,,,,
"Diablero: Season 1: Leg of a Dog, Heart of a Chicken",Diablero,Season 1,"Leg of a Dog, Heart of a Chicken",series,,,,,,
Diablero: Season 1: The Conclave,Diablero,Season 1,The Conclave,series,,,,,,
Diablero: Season 1: The Hidden Children,Diablero,Season 1,The Hidden Children,series,,,,,,
Dragon Quest Your Story,Dragon Quest Your Story,,,movie,Dragon Quest: Your Story,2019,,,anime,
Drifting Home,Drifting Home,,,movie,,,,,,
Dune,Dune,,,movie,,,,,,
Endless Night: Episode 2,Endless Night,,,series,,,,,imdb,
Englemageren,Englemageren,,,movie,,,,,,
Fate: The Winx Saga - The Afterparty,Fate,,The Winx Saga - The Afterparty,series,,,,,,
First Kill: First Love,First Kill,,First Love,series,,,,,,
Frontier: Season 1: A Kingdom Unto Itself,Frontier,Season 1,A Kingdom Unto Itself,series,,,,,,
FullMetal Alchemist,FullMetal Alchemist,,,series,Fullmetal Alchemist,2003,tt0421357,,anime+imdb,yes
Ghost in the Shell,Ghost in the Shell,,,movie,,,,,,
Ghost in the Shell: SAC_2045: Season 1: NO NOISE NO LIFE - Sustainable War,Ghost in the Shell: SAC_2045,Season 1,NO NOISE NO LIFE - Sustainable War,series,,,,,,
God Troubles Me: Episode 1,God Troubles Me,,,series,,,,,imdb,
Godzilla Singular Point: Encipher,Godzilla Singular Point,,Encipher,series,Godzilla: S.P,2021,tt13229934,,anime+imdb,yes
Godzilla Singular Point: Enfatico,Godzilla Singular Point,,Enfatico,series,Godzilla: S.P,2021,tt13229934,,anime+imdb,yes
Godzilla Singular Point: Erumpent,Godzilla Singular Point,,Erumpent,series,Godzilla: S.P,2021,tt13229934,,anime+imdb,yes
Godzilla Singular Point: Explorer,Godzilla Singular Point,,Explorer,series,Godzilla: S.P,2021,tt13229934,,anime+imdb,yes
Godzilla Singular Point: Gadabout,Godzilla Singular Point,,Gadabout,series,Godzilla: S.P,2021,tt13229934,,anime+imdb,yes
Godzilla Singular Point: Gamesome,Godzilla Singular Point,,Gamesome,series,Godzilla: S.P,2021,tt13229934,,anime+imdb,yes
Godzilla Singular Point: Graftage,Godzilla Singular Point,,Graftage,series,Godzilla: S.P,2021,tt13229934,,anime+imdb,yes
Godzilla Singular Point: Omniarch,Godzilla Singular Point,,Omniarch,series,Godzilla: S.P,2021,tt13229934,,anime+imdb,yes
Godzilla Singular Point: Relaunch,Godzilla Singular Point,,Relaunch,series,Godzilla: S.P,2021,tt13229934,,anime+imdb,yes
Godzilla Singular Point: Theorist,Godzilla Singular Point,,Theorist,series,Godzilla: S.P,2021,tt13229934,,anime+imdb,yes
Godzilla Singular Point: Tigerish,Godzilla Singular Point,,Tigerish,series,Godzilla: S.P,2021,tt13229934,,anime+imdb,yes
